Part Number,Description,Location,ip,0
100-887-306,1U Service tray Adjustable,Front,76,1
100-563-611,Slic Filler,A1/B1/B2,33/34,2
105-001-244,Nebula Drive Filler,A1/B1,33,3
106-886-001,Server rail kit,A2,33,4
042-008-614,UPS Mounting bracket,A2,33,5
042-008-184,Rail,A2,33,6
100-885-163,Server rail kit,A2,33,7
106-886-100,2U SPS bezel kit,A2,33,8
042-007-010,Bracket mounting tray,A2,33,9
100-562-512,2U rack air baffle,A2/A3,33,10
042-007-533,UPS rail RIGHT,A2,33,11
042-006-509,stationary raill assy,A2,33,12
040-002-354,1U rack filler plate,A2,33,13
040-002-182,label holder left,A2,33,14
040-002-183,label holder right,A2,33,15
042-007-648,cable retainer bracket,A2,33,16
038-004-173,CAT 5E/6 ether 9in blue,A2,33,17
038-003-736,Door ground strap 7inch,A2,33,18
300-004-128,Compliance Envelope,A2,33,19
038-003-681,Ethernet Xover 12inch green,A2,33,20
040-002-489,cable bracket plastic,A2,33,21
038-003-594,RS232 cable,A2,33,22
040-000-907,3.5inch drive filler,A3,33,23
040-001-354,Rack Cable Holder,B2,34,24
042-005-794,Frame PDP support Bracket,B2,34,25
071-000-522,USB PS Wall adapter,B2/B3,34,26
040-001-699,Cable retainer,B2,34,27
039-050-004,Y Cable mate n lock BLACK,B2,34,28
038-004-254,Mate n lock BLACK 24inch,B2,34,29
038-004-134,drvie bay light bar USB cable,B2,34,30
039-050-005,Y Cable mate n lock GREY,B2/B3,34,31
038-004-255,Mate n lock GREY 24inch,B2,34,32
038-003-954,Ethernet Xover 108inch GREEN,B2,34,33
038-003-624,SPS to Mibe AC cable BLACK,B2,34,34
038-003-625,SPS to Mibe AC cable GREY,B2,34,35
038-003-711,USB cable Titan door,B2,34,36
038-003-952,Ethernet Xover 156inch PURPLE,B2,34,37
038-003-953,Ethernet Xover 98inch PURPLE,B2,34,38
038-004-231,USB Female to Male cable,B2,34,39
038-003-894,Micro DB9 to DB9 UPS serial,B2,34,40
038-003-712,USB Cable Assy Mohawk door,B2,34,41
106-887-402,Zeus CMA,Front,,42
106-887-407,Hercules CMA,Front,,43
106-887-223,Nebula adjustable rail kit,C1/D1,35/36,44
106-887-400,Luna fixed rail w/CMA option,C1/D1,35/36,45
100-887-237,1U Service tray guide,C1/D1,35/36,46
106-887-252-01,Zeus Eng 3/7 factory install kit,C2,35,47
106-887-243-009,Zeus DAE install kit Engine 3/7,C2,35,48
106-887-205-01,Zeus Eng 3 IB and Eth kit,C2,35,49
106-887-238-01,Zeus Eng 4/8 Factory install kit,C2,35,50
106-887-206-00,Zeus Eng 4 IB and Eth kit,C2,35,51
106-887-251-01,Zeus Eng 5 Factory install kit,C2,35,52
106-887-207-00,Zeus Eng 5 IB and Eth kit,C2,35,53
038-004-435,3phase Delta jumper,C2,35,54
038-004-186,Single Phase jumper ,C2,35,55
038-004-481,3 WYE jumper,C2,35,56
106-887-208-00,Zeus Eng 6 IB and Eth kit,C3,35,57
106-887-209-00,Zeus Eng 7 IB and Eth kit,C3,35,58
106-887-210-00,Zeus Eng 8 IB and Eth kit,C3,35,59
106-887-220-02,Zeus Eng 1 Factory install kit,D2,36,60
106-887-245-00,Zeus CTO Door kit,D2,36,61
106-887-242-00,Zeus DAE install kit Engine 1/5,D2,36,62
106-887-339-00,Zeus MMCS kit,D2,36,63
106-887-241-00,Zeus Mibe install kit,D2,36,64
106-887-203-00,Zeus Eng 1 IB and Eth kit,D2,36,65
106-887-239-01,Zeus Eng 2/6 Factory install kit,D2,36,66
106-887-204-01,Zeus Eng 2 IB and Eth kit,D2,36,67
100-887-234,X1019 Dual switch tray,D1,36,68
106-887-005,IB swithc rail kit,D2/D3,36,69
100-564-880,Tool-less universal switch rails,D3,36,70
040-002-652,2.5inch drive filler,E1/F1,37/38,71
040-002-337,3.5inch drive filler,E1/F1,37/38,72
042-018-054,Naga assy top cover,E2,37,73
106-887-038,Megatron fixed rails w/ EMI ears,E2/E3,37,74
106-886-099,2U SPS tray,E2,37,75
036-994-097,CLIP/ CABLE,G1,39,76
037-001-940,SADDLE/ NETWORK/ FIBER/ OPTICAL,G1,39,77
037-001-839,SADDLE/ WIRE/ VERTICAL,G1,39,78
037-002-039,Cable tie BLACK w adhesive,G1,39,79
042-005-382,PDU wire bail,G1,39,80
EMCGRNSMESD,,G1,39,81
036-995-055,SPLIT BRAIDED SLEEVING 6 INCHES CLEAR WH,G1,39,82
WIT-30R-BL,,G1,39,83
White Zip Ties,,G1,39,84
046-000-438,Label: MIBE 18 Director Map,G1,39,85
046-000-453,Label: MIBE 12 Director Map,G1,39,86
106-887-176,LABEL SHT 250F SAS BE,G1,39,87
106-563-246,LBL SHT SAS BUS 0 AND 1 SP TO DAE,G1,39,88
046-003-239,LABEL/ SP HEAVY WARNING,G1,39,89
046-002-549,LABEL/ ZONE A AND B,G1,39,90
106-886-735,VMAX VX10 FC LABEL KIT,G1,39,91
046-000-272,Label: Everest Power Cord Ident.,G1,39,92
046-004-607,NEMA RAIL UNIT INCREMENT LABELS,G1,39,93
040-001-255,Dummy plug,G2,39,94
041-000-063,6inch Blue tie marker,G2,39,95
040-001-652,Tag/ number/ serial,G2,39,96
041-000-071,6inch Blue tie marker w punch,G2,39,97
036-994-095,TIE/ CABLE/ BLACK,G2,39,98
046-000-436,Label: Host System Cabel Designation,G2,39,99
046-006-299,LABEL EVEREST ENG AND DIRECTOR ID,G2,39,100
046-001-288,Label: Everest Host Cable Inner Wall,G2,39,101
